schema_name,table_name,column_name,entity_type,business_term,glossary,category,sensitivity,critical_data_element
public,branches,br_id,COLUMN,Branch ID,CSCU Business Glossary,Branch Operations,LOW,Yes
public,employees,br_id,COLUMN,Branch ID,CSCU Business Glossary,Branch Operations,LOW,Yes
public,branches,br_name,COLUMN,Branch Name,CSCU Business Glossary,Branch Operations,HIGH,Yes
public,branches,br_city,COLUMN,Branch City,CSCU Business Glossary,Branch Operations,HIGH,Yes
public,branches,br_county,COLUMN,Branch County,CSCU Business Glossary,Branch Operations,HIGH,Yes
public,branches,br_zip,COLUMN,Branch ZIP,CSCU Business Glossary,Branch Operations,HIGH,Yes
public,branches,br_phone,COLUMN,Branch Phone,CSCU Business Glossary,Branch Operations,HIGH,Yes
public,branches,mgr_emp_id,COLUMN,Mgr Employee ID,CSCU Business Glossary,Branch Operations,LOW,No
public,branches,br_status,COLUMN,Branch Status,CSCU Business Glossary,Branch Operations,LOW,No
public,employees,emp_id,COLUMN,Employee ID,CSCU Business Glossary,Branch Operations,LOW,Yes
public,employees,email,COLUMN,Email,CSCU Business Glossary,Branch Operations,HIGH,Yes
public,employees,role_cd,COLUMN,Role Code,CSCU Business Glossary,Branch Operations,LOW,No
public,members,mbr_id,COLUMN,Member Number,CSCU Business Glossary,Member,HIGH,Yes
public,members,mbr_no,COLUMN,Member Number,CSCU Business Glossary,Member,HIGH,Yes
public,members,ssn,COLUMN,SSN,CSCU Business Glossary,Member,HIGH,Yes
public,members,dob,COLUMN,Date of Birth,CSCU Business Glossary,Member,HIGH,Yes
public,members,email,COLUMN,Email,CSCU Business Glossary,Member,HIGH,Yes
public,members,phone,COLUMN,Phone,CSCU Business Glossary,Member,HIGH,Yes
public,members,city,COLUMN,City,CSCU Business Glossary,Member,HIGH,Yes
public,members,zip,COLUMN,ZIP,CSCU Business Glossary,Member,HIGH,Yes
public,members,br_id,COLUMN,Branch ID,CSCU Business Glossary,Member,LOW,No
public,members,mbr_status,COLUMN,Member Status,CSCU Business Glossary,Member,LOW,No
public,accounts,acct_id,COLUMN,Account ID,CSCU Business Glossary,Accounts & Deposits,HIGH,Yes
public,accounts,acct_no,COLUMN,Account Number,CSCU Business Glossary,Accounts & Deposits,HIGH,Yes
public,accounts,mbr_id,COLUMN,Member Number,CSCU Business Glossary,Accounts & Deposits,HIGH,Yes
public,accounts,br_id,COLUMN,Branch ID,CSCU Business Glossary,Accounts & Deposits,LOW,No
public,accounts,acct_type_cd,COLUMN,Account Type Code,CSCU Business Glossary,Accounts & Deposits,HIGH,Yes
public,accounts,acct_status,COLUMN,Account Status,CSCU Business Glossary,Accounts & Deposits,HIGH,Yes
public,accounts,bal_amt,COLUMN,Balance Amount,CSCU Business Glossary,Accounts & Deposits,MEDIUM,Yes
public,accounts,avail_bal_amt,COLUMN,Available Balance Amount,CSCU Business Glossary,Accounts & Deposits,MEDIUM,Yes
public,accounts,int_rt,COLUMN,Interest Rate,CSCU Business Glossary,Accounts & Deposits,LOW,No
public,cards,card_id,COLUMN,Card ID,CSCU Business Glossary,Cards & Payments,MEDIUM,Yes
public,cards,acct_id,COLUMN,Account ID,CSCU Business Glossary,Cards & Payments,HIGH,Yes
public,ach_payments,acct_id,COLUMN,Account ID,CSCU Business Glossary,Cards & Payments,HIGH,Yes
public,cards,card_no,COLUMN,Card Number,CSCU Business Glossary,Cards & Payments,HIGH,Yes
public,cards,card_type_cd,COLUMN,Card Type Code,CSCU Business Glossary,Cards & Payments,MEDIUM,No
public,cards,cvv_cd,COLUMN,CVV Code,CSCU Business Glossary,Cards & Payments,MEDIUM,No
public,cards,card_status,COLUMN,Card Status,CSCU Business Glossary,Cards & Payments,MEDIUM,No
